consumption,sun,rainfall,wind
2486213.169,60,0,7.55
2419093.722,60,0,6.3
2399346.274,60,0,7.2
2396537.295,38.5,0,6.65
2389790.409,25.5,0,6.65
2348642.948,16,0,5.25
2361581.834,3.5,0,2.7
2343455.859,0,0,3.75
2424013.854,0,0,4.5
2367517.913,0,0,5.4
2252948.98,0,0,6.3
2142138.398,0,0,6.15
2095106.625,0,0,4.3
2060213.559,0,0,4.85
1981609.057,0,0,4.3
1968980.033,0,0,3.95
1938588.494,0,0,4.7
1909165.648,0,0,5.75
1835530.845,0,0,6.65
1880942.715,0,0,6.45
2024182.116,0,0,6.85
2239693.388,0,0,7
2440862.375,1.5,0,6.85
2469062.7,35.5,0,5.75
2490695.914,60,0,6.1
2439188.069,60,0,7.75
2435124.614,60,0,7.95
2416342.726,39,0,7.05
2413391.931,30,0,7.35
2365969.744,23.5,0,5.75
2361401.646,2,0,5.05
2339813.001,0,0,6.5
2441902.002,0,0,6.1
2391079.03,0,0,5.6
2270958.62,0,0,6.7
2176035.952,0,0,6.7
2101317.366,0,0,6.3
2070210.286,0,0,6.1
1973104.736,0,0,5.8
1965854.924,0,0,6.3
1941739.528,0,0,6.5
1886775.617,0,0,3.95
1826216.379,0,0,8.3
1879410.506,0,0,7.75
2036887.958,0,0,7.7
2266222.96,0,0,4.85
2449192.82,16,0,6.45
2470435.609,12.5,0,6.45
2492414.623,30,0,10.6
2425390.656,56,0,13.5
2411073.611,60,0,13.7
2382627.221,39.5,0,14.25
2373188.075,30,0,16.9
2329687.051,30,0,14.8
2319235.216,8.5,0,11.7
2319147.34,0,0,10.8
2440284.633,0,0,11.3
2384736.53,0,0,12.25
2264378.948,0,0,13.7
2152637.613,0,0,13.35
2096175.168,0,0,14.2
2054691.012,0,0,12.75
1972403.927,0,0,11.85
1943360.781,0,0,12.6
1911961.061,0,0,13.1
1875552.049,0,0,13.15
1821450.713,0,0,13.85
1862137.519,0,0,15.3
2001143.232,0,0,14.05
2218846.822,0,0,14.2
2400098.542,0,0,14.4
2410395.722,2,0,12.95
2418669.355,3.5,0,13.5
2348087.373,47,0,14.2
2313286.141,36,0,14.55
2262424.181,24.5,0,15.85
2230070.324,2,0,16.7
2179984.192,0,0,17.1
2160865.036,0,0,14.6
2184397.236,0,0,14.05
2312803.885,0,0,14.4
2255657,0,0,14.75
2150256.277,0,0,11.55
2046595.518,0,0,11.55
1995298.782,0,0,11.15
1959505.34,0,0,11
1922634.106,0,0,12.4
1896217.886,0,0,12.95
1842774.111,0,0,11
1795415.845,0,0,10.45
1720935.375,0,0,7.75
1699314.401,0,0,7.9
1690016.285,0,0,8.5
1713660.142,0,0,9
1815845.095,0,0,6.5
1905870.489,7.5,0,10.6
1936718.468,44,0.1,11.15
1898075.792,40.5,0.2,12.05
1902561.797,17,0,14.2
1890868.937,11.5,0.2,14.4
1840754.315,0,0,13.3
1803105.651,0.5,0,13
1813413.985,0,0,7.9
1887185.598,0,0,4.5
2052808.102,0,0,6.15
2032154.73,0,0,4.5
1952508.521,0,0,4.85
1858045.055,0,0,6.65
1837510.166,0,0,6.8
1820039.551,0,0,7
1765180.202,0,0,7.05
1735004.813,0,0,8.25
1688574.246,0,0,7.55
1654523.461,0,0,6.3
1610294.644,0,0,6.45
1604206.655,0,0,7.05
1564939.754,0,0,5.75
1530685.608,0,0,5.6
1610699.539,0,0.1,5.6
1689443.208,8,0,6.5
1727842.897,30,0,4.7
1708963.618,30,0,4.15
1719131.359,30,0,3.95
1669714.004,12,0,4.1
1612582.558,7,0,5.25
1571319.089,0,0,3.95
1598402.533,0,0,4.3
1728384.084,0,0,4.85
1936805.068,0,0,5.75
1943259.912,0,0,5.05
1883533.37,0,0,5.75
1814732.201,0,0,7.2
1782896.167,0,0,7.2
1742168.325,0,0,7.55
1667890.826,0,0,6.45
1675558.743,0,0,6.15
1651422.493,0,0,6.7
1647182.945,0,0,7.4
1618486.644,0,0,7.35
1701588.105,0,0,5.4
1861721.955,0,0,7
2084161.305,0,0,6.65
2275868.356,0,0,6.5
2281876.431,0,0,5.95
2297625.233,0,0,4.7
2268944.533,0,0,4.35
2266486.222,0,0,6.3
2227994.086,0,0.1,7.2
2234329.02,0,0.4,5.25
2217433.621,0,0.6,6.15
2216900.718,0,0.5,6.65
2204529.14,0,0.8,4.35
2282395.495,0,0.4,5.6
2214746.189,0,0.6,4.7
2076106.546,0,0.3,3.95
1978595.76,0,0.3,2.85
1903605.524,0,0.3,2.35
1829475.374,0,0.1,2.7
1724687.321,0,0.2,4.5
1684085.217,0,0.1,3.25
1668440.042,0,0.2,3.8
1659413.468,0,0.2,3.8
1602501.35,0,0.1,3.4
1680865.788,0,0.2,3.95
1823089.509,0,0.8,4.3
2054108.257,0,0.5,4.15
2236222.395,0,0.5,2.9
2231754.336,0,0.7,4.35
2276873.002,0,0.2,2.5
2269592.603,0,0.3,3.25
2263965.557,0,0.1,3.6
2223842.293,0,0.5,5.2
2227854.665,0,0.5,5.4
2189842.315,0,0.1,4.15
2184503.874,0,0.3,2.35
2174764.825,0,0.5,2.35
2241991.758,0,0.4,3.6
2163441.356,0,0.4,4.7
2046733.168,0,0.4,5.05
1915030.47,0,0.2,2.85
1852198.079,0,0.2,3.2
1787247.18,0,0.2,3.6
1683806.201,0,0,5.4
1679698.033,0,0.1,3.1
1636494.584,0,0,3.4
1634866.68,0,0.1,3.4
1598938.943,0,0,4
1645744.397,0,0.1,2.5
1786613.69,0,0.1,3.05
2018049.379,0,0,2.15
2185530.349,6.5,0,2.3
2211917.138,28,0,1.95
2230850.709,60,0.1,4.15
2178688.236,50.5,0,2.5
2165277.804,60,0,2.7
2079048.513,49,0,4.5
2056094.784,30,0,3.8
1995502.054,8,0,6.85
2013321.635,0,0.1,7.4
2016351.896,0,0,6.15
2163537.534,0,0,5.75
2139947.166,0,0.1,6.5
2010584.209,0,0.1,7.4
1903305.352,0,0.1,11.35
1841546.829,0,0,15.65
1754490.63,0,0,10.95
1666796.629,0,0,7.05
1641934.764,0,0.1,15.5
1625925.652,0,0,10.6
1630567.516,0,0,7.05
1587559.104,0,0,7.55
1646921.542,0,0,6.5
1784238.987,0,0,4.7
2010906.22,0,0.1,6.65
2173939.776,4,0.1,11.7
2191431.394,32.5,0.1,12.1
2207151.824,50.5,0.1,13.5
2165935.502,35,0,14.95
2166077.482,50,0.1,15.1
2099269.237,46,0.2,14.8
2077353.57,20,0.1,14.75
2030229.684,8.5,0.1,15.15
2028392.64,0,0.1,12.95
2024350.503,0,0.2,13
2163462.449,0,0.1,10.95
2140666.047,0,0.2,11.35
2019614.026,0,0.3,12.4
1916209.131,0,0.2,12.25
1845621.843,0,0.1,13.85
1778388.28,0,0.1,16.35
1691366.132,0,0.1,12.45
1653914.581,0,0.5,12.05
1638723.098,0,0.1,10.95
1622391.748,0,0.3,11.35
1574446.306,0,0.6,9.75
1632838.557,0,0.5,10.45
1769622.22,0,0.4,8.1
1961971.656,0,0.5,5.2
2155964.796,13.5,0.5,3.95
2177715.059,27.5,0.8,3.6
2186319.991,45,1,6.8
2144269.839,60,0.1,6.45
2125138.107,57.5,0,4.3
2034847.807,43,0,12.05
2015236.083,25,0,18
1953312.562,0,0,12.05
1941732.996,0,0.1,6.45
1980621.369,0,0.3,8.1
2119401.773,0,0.4,3.75
2083492.094,0,0.5,3.25
1962161.963,0,0.1,3.95
1841772.258,0,0.1,2.7
1798861.572,0,0,4.15
1754298.977,0,0.1,3.95
1691332.502,0,0,4
1660943.165,0,0,6.1
1632590.622,0,0,6.3
1621203.812,0,0,8.65
1556838.502,0,0,7.75
1549649.415,0,0,9.9
1553001.196,0,0,13.15
1560736.089,0,0.7,12.6
1670785.884,0,1,12.25
1776100.141,0,0.4,9.35
1834763.8,0,0.7,8.8
1857505.964,11.5,0.4,7.2
1858808.359,25.5,1,6.5
1827705.418,0,1.5,8.25
1796820.976,0,1.8,7.35
1782960.779,0,0.4,8.65
1791623.712,0,0.4,14.05
1838062.155,0,0.3,23.55
1940016.901,0,0.2,14.9
1897306.908,0,0,12.05
1817950,0,0,5.75
1725538.792,0,0,5.05
1698998.491,0,0,5
1687157.877,0,0,5.05
1642294.077,0,0,6.5
1604368.903,0,0,6.15
1576214.679,0,0,6.3
1557084.822,0,0,7.75
1511022.273,0,0,7.2
1516566.122,0,0,7.55
1474778.334,0,0,6.1
1445140.141,0,0,6.85
1492126.238,0,0.1,12.45
1593448.771,0,0.3,13.3
1666204.119,0,0.5,11.9
1708089.874,0,0.3,7.4
1763232.628,0,0.2,6.15
1759172.987,0,0.3,9
1712674.42,0,0.6,5.2
1693865.09,0,0.7,3.95
1706186.374,0,0.4,5.05
1779422.375,0,0.3,4.5
1915865.523,0,0.5,2.2
1905491.112,0,0.6,3.4
1832789.543,0,0.3,4.15
1748262.929,0,0.4,6.7
1724101.305,0,0,5.4
1685598.288,0,0.1,3.1
1617883.406,0,0.1,3.95
1600305.077,0,0,6.7
1585794.604,0,0.5,5.75
1573549.105,0,0.3,6.15
1543739.186,0,0.1,9
1628827.111,0,0.2,8.1
1789691.811,0,0,6.45
2006682.468,0,0.1,7.35
2178286.64,0,0.1,9.55
2213392.885,0,0.5,9.7
2231431.035,0,1.2,9.55
2217800.873,0,1.6,12.2
2200800.274,0,1.1,11.15
2132027.127,0,0.5,11.15
2114786.998,0,0,10.8
2072012.44,0,0,10.25
2068020.949,0,0,9.35
2047422.188,0,0,7
2196064.713,0,0,6.3
2154904.844,0,0,6.85
2027290.531,0,0,5.4
1944813.62,0,0,7.7
1874988.513,0,0,4.85
1808251.35,0,0,4.5
1732588.385,0,0,2.7
1718093.33,0,0,2.85
1688729.302,0,0,3.95
1688675.995,0,0,4.7
1641322.95,0,0,3.8
1692411.035,0,0,2.7
1839316.536,0,0,4.85
2061951.376,0,0,7
2216635.304,0,0,5.95
2219061.514,0,0,3.8
2246975.084,0,0,2.15
2207558.542,2.5,0,2.35
2198919.987,1,0.6,3.05
2149872.879,0,0.5,3.6
2154133.633,0,0.3,8.1
2142506.358,0,0.1,8.8
2140630.565,0,0,5.05
2129886.241,0,0,5.4
2233608.778,0,0.3,5.25
2175723.91,0,0.2,6.1
2052707.515,0,0.2,3.45
1950894.963,0,0,4
1898903.373,0,0,3.75
1829507.467,0,0,4.15
1740897.694,0,0,3.8
1724705.441,0,0,2
1694381.108,0,0,3.75
1683925.727,0,0,2.35
1619159.922,0,0,3.95
1668776.577,0,0,4.15
1813842.88,0,0,4.15
2035989.552,0,0.1,3.6
2201042.482,0,0,3.05
2226822.432,0,0,5.6
2258239.064,0,0,9.15
2251454.691,0,0,7.4
2242439.723,0,0,9.75
2208070.193,0,0,8.65
2205437.906,0,0,8.45
2177971.313,0,0,7.2
2169301.677,0,0,6.5
2147250.984,0,0,6.3
2219818.907,0,0,6.65
2159589.522,0,0.1,5.75
2037954.754,0,0,5.6
1937956.285,0,0,5.75
1877602.453,0,0,6.15
1827451.184,0,0,5.2
1754206.885,0,0,4.3
1727653.734,0,0,5.2
1704374.601,0,0,3.8
1699070.991,0,0,2.35
1660073.383,0,0,2.5
1713521.673,0,0,1.8
1851770.834,0,0,3.6
2075962.905,0,0,6.5
2241714.698,24,0,7.05
2265263.117,40.5,0,6.5
2296796.909,54,0,9.7
2267404.324,60,0,9.9
2258362.584,50.5,0,11.55
2218872.761,52.5,0,7.75
2216615.371,0,0,11.55
2187691.139,0,0,9.7
2189727.506,0,0,10.05
2185905.323,0,0,9.5
2253200.95,0,0,11
2203278.94,0,0,10.65
2095876.587,0,0,13.15
1996134.456,0,0,13.15
1938308.886,0,0,7.75
1877633.032,0,0,6.85
